TimeStep,RS,RR,RR,RR,RR
12,1.076910019,-0.277695894,0.799214125,0.277695894,-0.555391788
12,1.152075768,-0.254685879,0.897389889,0.254685879,-0.509371758
12,1.233377934,-0.236278057,0.997099877,0.236278057,-0.472556114
12,1.25025177,-0.237812042,1.012439728,0.237812042,-0.475624084
12,1.270194054,-0.305307865,0.964886189,0.305307865,-0.61061573
12,1.273262024,-0.352861881,0.920400143,0.352861881,-0.705723762
12,1.274796009,-0.371269941,0.903526068,0.371269941,-0.742539882
12,1.276329994,-0.372803926,0.903526068,0.372803926,-0.745607852
12,1.276329994,-0.375871897,0.900458097,0.375871897,-0.751743794
12,1.277863979,-0.382008076,0.895855903,0.382008076,-0.764016152
12,1.277863979,-0.382008076,0.895855903,0.382008076,-0.764016152
12,1.279397964,-0.380474091,0.898923873,0.380474091,-0.760948182
12,1.279397964,-0.382008076,0.897389888,0.382008076,-0.764016152
12,1.28093195,-0.382008076,0.898923874,0.382008076,-0.764016152
12,1.282465935,-0.382008076,0.900457859,0.382008076,-0.764016152
12,1.282465935,-0.382008076,0.900457859,0.382008076,-0.764016152
12,1.28399992,-0.382008076,0.901991844,0.382008076,-0.764016152
12,1.285533905,-0.382008076,0.903525829,0.382008076,-0.764016152
12,1.28706789,-0.382008076,0.905059814,0.382008076,-0.764016152
12,1.29013586,-0.382008076,0.908127784,0.382008076,-0.764016152
12,1.291669846,-0.382008076,0.90966177,0.382008076,-0.764016152
12,1.293203831,-0.382008076,0.911195755,0.382008076,-0.764016152
12,1.296271801,-0.382008076,0.914263725,0.382008076,-0.764016152
12,1.297805786,-0.382008076,0.91579771,0.382008076,-0.764016152
12,1.299339771,-0.382008076,0.917331695,0.382008076,-0.764016152
12,1.299339771,-0.382008076,0.917331695,0.382008076,-0.764016152
12,1.299339771,-0.382008076,0.917331695,0.382008076,-0.764016152
12,1.299339771,-0.382008076,0.917331695,0.382008076,-0.764016152
12,1.299339771,-0.382008076,0.917331695,0.382008076,-0.764016152
12,1.299339771,-0.382008076,0.917331695,0.382008076,-0.764016152
12,1.299339771,-0.380474091,0.91886568,0.380474091,-0.760948182
12,1.299339771,-0.380474091,0.91886568,0.380474091,-0.760948182
12,1.299339771,-0.380474091,0.91886568,0.380474091,-0.760948182
12,1.299339771,-0.380474091,0.91886568,0.380474091,-0.760948182
12,1.300873756,-0.380474091,0.920399665,0.380474091,-0.760948182
12,1.299339771,-0.380474091,0.91886568,0.380474091,-0.760948182
12,1.299339771,-0.380474091,0.91886568,0.380474091,-0.760948182
12,1.299339771,-0.380474091,0.91886568,0.380474091,-0.760948182
12,1.299339771,-0.380474091,0.91886568,0.380474091,-0.760948182
12,1.300873756,-0.380474091,0.920399665,0.380474091,-0.760948182
12,1.299339771,-0.380474091,0.91886568,0.380474091,-0.760948182
12,1.302408218,-0.377405882,0.925002336,0.377405882,-0.754811764
12,1.31774807,-0.369735956,0.948012114,0.369735956,-0.739471912
12,1.330019951,-0.366667986,0.963351965,0.366667986,-0.733335972
12,1.330019951,-0.365134001,0.96488595,0.365134001,-0.730268002
12,1.336155891,-0.35899806,0.977157831,0.35899806,-0.71799612
12,1.337689877,-0.351327896,0.986361981,0.351327896,-0.702655792
